,index,ra,dec,ObjectId,g_psfMag,g_psfMagErr,r_psfMag,r_psfMagErr,u_psfMag,u_psfMagErr,g_psfFlux,g_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,g_extendedness,u_extendedness,r_extendedness,g_pixelFlags_inexact_psfCenter,u_pixelFlags_inexact_psfCenter,r_pixelFlags_inexact_psfCenter,g-r,u-g,g-r_err,u-g_err,color_flags,diaObjectId,nDiaSources,g_psfFluxMean,u_psfFluxMean,r_psfFluxMean,i_psfFluxMean,z_psfFluxMean,y_psfFluxMean,g_psfFluxSigma,u_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,z_psfFluxSigma,y_psfFluxSigma,g_scienceFluxMean,u_scienceFluxMean,r_scienceFluxMean,i_scienceFluxMean,z_scienceFluxMean,y_scienceFluxMean,g_scienceFluxMeanErr,u_scienceFluxMeanErr,r_scienceFluxMeanErr,i_scienceFluxMeanErr,z_scienceFluxMeanErr,y_scienceFluxMeanErr,g_psfFluxChi2,u_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,z_psfFluxChi2,y_psfFluxChi2,g_psfFluxPercentile25,g_psfFluxPercentile75,u_psfFluxPercentile25,u_psfFluxPercentile75,r_psfFluxPercentile25,r_psfFluxPercentile75,i_psfFluxPercentile25,i_psfFluxPercentile75,z_psfFluxPercentile25,z_psfFluxPercentile75,y_psfFluxPercentile25,y_psfFluxPercentile75,g_psfFluxStetsonJ,u_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,z_psfFluxStetsonJ,y_psfFluxStetsonJ,r_psfFluxIQR,r_psfFluxIQRFrac,shape_flags,point_size,simbad_results
2573,161066,95.05974320941328,-24.660349153874655,614438433682630884,15.7206,0.000115914,15.453,0.000108118,16.7277,0.000613054,1869720.0,199.613,2392170.0,238.213,739446.0,417.524,,0.0,,True,True,True,0.26760006,1.0070992,0.000224032,0.000728968,in_passed,6.144384336826204e+17,111.0,-76233.84375,-10010.9306640625,-228149.6875,,10362.083984375,-5786.388671875,189815.49860595792,5279.278682809546,365170.8057848443,,18058.956760722558,23885.108677096847,1611587.0,721308.0625,1224196.0,,2784370.75,2865430.25,211.2854766845703,831.8204956054688,173.76889038085938,,460.05279541015625,2015.0162353515625,1737600.0,25.7625,5441660.0,,1433.82,96.1344,32910.2783203125,47793.98046875,-12149.279541015625,-6767.3153076171875,175469.19140625,235590.93359375,,,4078.985595703125,20301.12109375,-8845.9970703125,6234.8150634765625,61.19886074716434,1.936137409445277,192.75828157584834,,4.986728190834637,2.665668985431958,60121.7421875,0.46625039123896156,in_passed,60,N/A
2766,169898,94.87476355769348,-24.492434263374815,614439189596874949,16.0972,0.000483478,15.8484,0.00080486,17.0853,0.00142651,1321640.0,588.526,1662080.0,1232.11,531947.0,698.908,,0.0,,True,False,True,0.24880028,0.98810005,0.0012883381,0.001909988,in_dia,6.144391895968645e+17,17.0,169306.578125,-1059.380615234375,,,14535.8603515625,-48804.30078125,31898.243222656834,16779.95036712395,,,24135.53706060412,,2919291.25,827709.75,,,4215337.0,4672127.0,794.4198608398438,834.17041015625,,,1067.0950927734375,4997.48388671875,1169.9,239.155,,,409.836,0.0,156383.90625,199932.40625,-11089.778564453125,13351.9765625,,,,,5193.57666015625,36523.857421875,-48804.30078125,-48804.30078125,14.046208251757097,7.981707921166778,,,6.156219055184964,,,,in_dia,15,N/A
2776,170264,94.88936660117733,-24.475679385456758,614439189596875826,16.0345,0.000335019,15.7595,0.000367028,17.077,0.00131317,1400220.0,432.058,1803820.0,609.772,536052.0,648.34,0.0,0.0,,False,False,True,0.27500057,1.0424995,0.000702047,0.0016481889,in_dia,6.144391895968645e+17,10.0,,-77.46138000488281,,192545.328125,2040.646240234375,-22143.0859375,,16977.511591777024,,,28095.861147316573,,,533248.875,,2206755.5,2254118.5,2126926.75,,1019.3394165039062,,1695.7130126953125,835.403564453125,3364.12353515625,,116.48,,0.0,818.514,0.0,,,-6320.9033203125,5684.009765625,,,192545.328125,192545.328125,-13146.25048828125,21411.42822265625,-22143.0859375,-22143.0859375,,10.092041418008561,,,10.603980619147974,,,,in_dia,15,N/A
3028,182608,94.87726758949009,-24.73527554928202,614437815207344467,15.7094,0.000110307,15.4452,9.86426e-05,16.6782,0.00045327,1889000.0,191.916,2409520.0,218.913,773933.0,323.099,0.0,0.0,,True,False,True,0.2642002,0.9687996,0.00020894961,0.000563577,in_passed,6.144378152073298e+17,117.0,-78835.640625,-10296.6591796875,106641.28125,,4886.259765625,20749.84375,140351.90175453573,1871.7786016591156,192647.00307590116,,37969.34945666238,13995.18306355211,1493636.875,708717.625,2364869.0,,2940699.5,2379041.5,217.77841186523438,507.154296875,244.08860778808594,,469.75579833984375,1356.861328125,1440240.0,12.8782,1792690.0,,6009.73,68.2665,27920.353515625,38611.72265625,-11262.38525390625,-9733.674072265625,201213.6484375,233252.375,,,-9988.501708984375,8397.683227539062,12602.54296875,29811.939453125,48.71752259621865,-0.09354970737469422,49.376870057980234,,7.252825479028977,2.3329282295217237,32038.7265625,0.0322461762915134,in_passed,60,N/A
3032,182947,95.05472120549993,-24.827127050775935,614437746487863989,16.499,0.00022303,16.2769,0.0006317,17.6377,0.000772579,912881.0,187.523,1120080.0,651.685,319837.0,227.587,,0.0,,True,True,True,0.22210121,1.1386986,0.00085472997,0.000995609,in_dia,6.14437746487853e+17,66.0,-191416.625,-5141.591796875,,,,-1277927.5,259941.02940418114,1565.7384209529673,,,,1511915.837138274,1510076.375,304416.96875,,,,4181587.0,165.69448852539062,464.8348693847656,,,,2205.271728515625,5598890.0,8.14684,,,,390313.0,64513.9140625,90936.412109375,-5946.1279296875,-4687.1669921875,,,,,,,208856.703125,257423.609375,115.24291338889762,0.238886221812412,,,,190.9912552568595,,,in_dia,15,N/A
3034,182970,94.97031327309497,-24.8294480341218,614437746487863845,15.5681,9.07088e-05,15.3142,0.000100855,16.5313,0.000397969,2151540.0,179.752,2718520.0,252.525,886118.0,324.8,,0.0,,True,False,True,0.25389957,0.9631996,0.0001915638,0.0004886778,in_passed,6.144377464878532e+17,146.0,-51637.26953125,-9346.5712890625,-139508.78125,,-5600.78564453125,-46412.26171875,188698.01323532197,4747.984899822039,505287.79774184246,,23904.26438642286,33056.792276412365,1964319.125,891474.0,1320419.375,,3268712.25,3217376.25,184.21035766601562,598.6243286132812,180.74252319335938,,465.8228454589844,1598.885986328125,2795710.0,49.2253,5714620.0,,2506.88,329.586,44397.9921875,63998.966796875,-12250.369140625,-7995.9814453125,258690.26953125,306986.96875,,,-10876.8583984375,7166.13671875,-57199.7734375,-25089.69921875,50.835621020904476,1.2100226672921275,194.06571300976898,,6.516126384149328,5.17621375861893,48296.69921875,,in_passed,60,N/A
3077,184433,95.06951297958497,-24.796449178305625,614437746487864346,15.8728,9.99441e-05,15.5472,9.83154e-05,17.024,0.000541328,1625090.0,149.593,2193500.0,198.625,562844.0,280.623,0.0,0.0,,True,False,True,0.32559967,1.1512003,0.00019825951,0.0006412721,in_passed,6.14437746487853e+17,157.0,16817.544921875,-5799.61083984375,-191524.5625,-83487.109375,8124.76904296875,3127.894287109375,9845.601964906004,3464.4915135063325,356612.0537471163,573488.640035975,13865.837915918444,29243.580873548763,1516069.25,539429.0625,1604892.25,1070119.625,2461247.0,2660399.25,178.2738037109375,683.5093994140625,169.98214721679688,406.5921936035156,380.719482421875,1355.4195556640625,2848.26,14.9035,7236180.0,824747.0,1172.55,379.393,10768.8740234375,22912.080078125,-7333.147705078125,-4967.4921875,154741.02734375,191648.72265625,7752.5625,349606.65625,3013.8956909179688,16956.61376953125,-15268.38330078125,27161.12841796875,5.972980335764923,0.5212082152690154,168.90932526366626,218.25065920583867,4.261477724788975,6.037062854105537,36907.6953125,,in_passed,60,N/A
3109,185635,94.9460727761998,-24.84381428480919,614437746487862853,15.7074,9.0794e-05,15.4074,9.50986e-05,16.7812,0.000460261,1892520.0,158.261,2494840.0,218.521,703916.0,298.401,0.0,0.0,,True,True,True,0.3000002,1.0738001,0.0001858926,0.000551055,in_passed,6.14437746487853e+17,132.0,20929.177734375,-8991.8505859375,-145255.453125,,28495.04296875,7046.04052734375,12495.519276456462,1376.1427558743912,352386.1342898448,,17390.830353467347,40997.32415352584,1518173.25,634864.8125,1823975.375,,3075169.5,3138174.5,182.94827270507812,889.7275390625,213.40757751464844,,405.1302185058594,1481.1195068359375,3782.06,1.55351,5099820.0,,1694.13,638.451,13758.83056640625,29979.8046875,-9606.29833984375,-8255.772216796875,185419.74609375,222204.8984375,,,17464.0615234375,40107.9677734375,-4373.287109375,36818.59765625,7.217604639164887,-0.24269581034950502,141.32749570612947,,5.159306823819254,6.642056803094113,36785.15234375,0.024236329319026043,in_passed,60,N/A
3236,192171,94.58097511501073,-25.29580629290605,612930109887753860,15.8429,0.000315627,15.8115,0.00104731,16.8966,0.00101964,1670430.0,485.598,1719450.0,1658.61,632961.0,594.428,,0.0,,True,False,True,0.03140068,1.0537004,0.0013629369,0.001335267,in_dia,6.12930109887742e+17,15.0,60462.53125,,,,-146291.625,55148.75,65434.32125530487,,,,512579.80847224005,,2132600.0,,,,3324524.5,4990053.0,670.747802734375,,,,828.427490234375,5425.76123046875,6199.38,,,,271133.0,0.0,15746.1201171875,107921.40625,,,,,,,-41883.80078125,10859.4208984375,55148.75,55148.75,35.83887577512773,,,,73.46499746898517,,,,in_dia,15,N/A
3280,195360,94.52663903173604,-25.32368192286562,612930109887752828,15.8261,0.000345822,15.7078,0.000946823,16.8054,0.00103644,1696510.0,540.361,1891800.0,1649.76,688423.0,657.165,0.0,0.0,,False,True,True,0.11830044,0.9793005,0.001292645,0.001382262,in_dia,6.129301098877422e+17,11.0,28255.28125,-25317.953125,,,81593.3359375,,13125.649988943338,6873.87712329782,,,44064.806352058054,,2213482.5,728513.4375,,,3802916.25,,854.3094482421875,940.8449096679688,,,1196.74365234375,,145.95,27.8521,,,844.543,,19520.19384765625,32641.4296875,-28174.00390625,-21496.859375,,,,,53363.78515625,107933.359375,,,6.7029185174735515,2.548032940547758,,,10.984329248880778,,,,in_dia,15,N/A
3355,199236,94.96967839691044,-25.314786554833113,612929972448799236,17.6556,0.000229304,17.444,0.000224294,18.7485,0.00148386,314604.0,66.4434,382311.0,78.9789,114971.0,157.13,0.0,0.0,0.0,True,False,False,0.21159935,1.0929012,0.00045359798,0.0017131639,in_dia,6.129299724487886e+17,100.0,769.7076416015625,-2077.353515625,-1231.403076171875,-2072.9921875,1138.0882568359375,,2259.5709741021187,4665.738354318615,2570.235198156199,7699.5922137606785,7014.248813991327,,298764.3125,109251.3046875,367743.0625,368002.96875,377411.4375,,79.18672943115234,251.731689453125,108.396728515625,194.3960418701172,457.0806579589844,,864.547,284.446,537.785,1180.27,159.893,,-15.556427001953125,2808.1648559570312,-5298.43896484375,3824.77490234375,-2694.8990478515625,665.5021667480469,-9011.892578125,1378.7775268554688,-1946.631103515625,4889.0728759765625,,,3.2233482903747057,3.571817569853672,2.98737771055663,7.892496868641943,5.552141893897014,,3360.4012145996094,0.04165298643202764,in_dia,15,N/A
3404,201432,94.6792014665892,-25.313493684373,612930041168276794,15.8303,0.000164235,15.5205,0.000219886,16.9274,0.000676111,1689930.0,255.628,2248010.0,455.272,615219.0,383.11,0.0,0.0,,False,False,True,0.30980015,1.0971003,0.000384121,0.00084034604,in_passed,6.129300411682655e+17,46.0,4119.38134765625,-9866.40234375,-77953.390625,,-23332.6796875,,24155.393172153854,8814.31243062459,334783.1737926673,,13993.58028045962,,1428300.875,535778.6875,1882771.125,,2636859.25,,355.01531982421875,444.42822265625,420.6316223144531,,599.3660888671875,,3897.96,466.303,634164.0,,517.843,,-20567.73583984375,23616.1328125,-17546.7958984375,-10329.9541015625,58417.0,89453.0546875,,,-33251.6923828125,-14688.66357421875,,,17.782758713743902,4.522993861412097,90.24700106315169,,4.621098424005963,,31036.0546875,0.1440909861174666,in_passed,60,N/A
3413,202014,94.92194945454293,-25.35883743325563,612929972448797188,15.8954,0.000125713,15.588,0.00013454,16.9957,0.000640143,1591650.0,184.292,2112460.0,261.768,577731.0,340.626,0.0,0.0,,True,True,True,0.30739975,1.1003008,0.000260253,0.000765856,in_passed,6.129299724487885e+17,98.0,11282.607421875,505.68719482421875,-44217.81640625,-268196.09375,29409.45703125,9138.5673828125,104673.38265401019,7298.839507374838,282187.05552302575,480092.3907212554,15534.528862302142,13189.677484484837,1522973.375,448514.125,1492539.625,969381.1875,2551489.75,1433517.0,203.15130615234375,659.9212036132812,242.4975128173828,366.4984130859375,503.715087890625,1171.841552734375,405785.0,110.371,1046400.0,834802.0,857.686,55.0292,33009.6171875,42056.1484375,2041.860595703125,7102.556396484375,32249.54150390625,46708.494140625,96025.65625,205931.734375,18775.6064453125,40930.525390625,5427.51123046875,13308.541015625,24.34429392965576,3.78521009466967,70.41545368671324,210.11622022047416,4.9340514531514055,1.5143211904984157,14458.95263671875,0.08086056970443262,in_passed,60,N/A
3459,203644,94.85518228013554,-25.39244477983154,612929285254036738,16.1881,0.000260646,16.1792,0.00108102,17.2749,0.000826949,1215540.0,291.807,1225560.0,1220.24,446722.0,340.245,,0.0,,True,False,True,0.008901596,1.0867996,0.001341666,0.001087595,in_dia,6.129292852540211e+17,28.0,-121479.59375,8114.39990234375,,,,-9805.4375,364069.44926899107,708.90286003212,,,,,1685198.125,477936.65625,,,,6901088.0,263.83624267578125,964.5596313476562,,,,6652.765625,2667270.0,0.255626,,,,1.29123e-14,157212.390625,202384.78125,7920.498291015625,8421.768310546875,,,,,,,-9805.4365234375,-9805.4365234375,146.35854754556877,-0.8625526696593931,,,,,,,in_dia,15,N/A
3543,208777,94.6744729691158,-25.011534776745425,614429706309081983,15.6467,0.000104906,15.3577,0.000133828,16.6906,0.000477923,2001280.0,193.368,2611600.0,321.907,765149.0,336.806,,0.0,,True,True,True,0.28899956,1.0438995,0.000238734,0.000582829,in_passed,6.144297063090751e+17,98.0,-114739.640625,12381.9326171875,-84378.2265625,,11089.8671875,-7718.6962890625,250258.2564315918,6763.369494628002,404931.77044377633,,19892.416421540573,26647.385407485268,1755582.375,692274.6875,2392410.25,,3164800.25,2910035.5,213.50973510742188,594.3012084960938,439.9779052734375,,431.4215087890625,1630.2667236328125,2305770.0,98.0106,1904930.0,,1933.17,201.6,37683.94140625,56317.9921875,9404.77587890625,16843.10986328125,256142.5,300641.0625,,,-3772.84130859375,26370.173828125,-23116.341796875,4806.146484375,91.82842889244593,2.200367692212919,140.99254925001802,,6.226955957576052,4.684542500129232,44498.5625,,in_passed,60,N/A
3710,218251,94.49371432177658,-24.955729153332882,614429775028563821,15.3208,0.000145419,15.253,0.000407704,16.5623,0.000522198,2702040.0,361.899,2876200.0,1080.04,861189.0,414.199,,0.0,,True,False,True,0.06779957,1.2414999,0.000553123,0.00066761696,in_dia,6.144297750285517e+17,35.0,285551.6875,-2611.13134765625,,953737.9375,-1121330.375,8575.2431640625,64790.321303448756,12106.143004815076,,,1049108.8465948666,306513.55791696516,2825101.75,773860.25,,5667298.0,4545032.0,6357420.0,425.863525390625,550.2545166015625,,2867.234130859375,1397.516845703125,3915.111572265625,19546.5,371.894,,4.21268e-10,506286.0,2878.48,226339.8125,332379.84375,-11405.5927734375,7743.568359375,,,953737.875,953737.875,-219255.0625,-132826.796875,-136273.359375,139132.3984375,30.38798141611147,5.949292900696593,,,213.01272382489074,26.288358915115875,,,in_dia,15,N/A
3815,224073,94.4568405537323,-24.981449302223346,614429775028562698,15.4913,0.000221414,15.4448,0.000433954,16.5348,0.000535107,2309360.0,470.946,2410300.0,963.365,883249.0,435.311,0.0,0.0,,False,True,True,0.046499252,1.0435,0.00065536797,0.000756521,in_dia,6.144297750285518e+17,22.0,156843.046875,-8696.2705078125,,167269.4375,-69117.3984375,-61694.22265625,69163.03606130401,14423.219977591902,,,26590.01930472449,,2306859.25,773979.75,,3877314.75,3969033.25,4051160.25,588.3560791015625,574.762939453125,,2311.513427734375,1258.4521484375,4875.56103515625,10192.7,476.356,,0.0,312.778,0.0,108776.8828125,182074.921875,-14785.306640625,-4590.099609375,,,167269.4375,167269.4375,-77624.890625,-44076.69140625,-61694.22265625,-61694.22265625,34.577916794924946,5.660694359179162,,,6.764690236508885,,,,in_dia,15,N/A
3826,224640,94.58258672089605,-24.983532740688908,614429775028562097,15.3082,0.000111349,15.1493,0.000391533,16.428,0.000425985,2733440.0,280.331,3164340.0,1141.11,974513.0,382.346,,0.0,,True,True,True,0.15890026,1.1197996,0.000502882,0.000537334,in_dia,6.144297750285517e+17,79.0,317886.78125,11366.0771484375,,884865.5,-366468.0,16828.482421875,271658.74725393695,9656.35159165475,,36984.413655609285,513145.2349269477,41393.65551475187,2713589.5,949441.0625,,4769528.5,3912167.0,4585005.0,311.556640625,473.73284912109375,,1463.7181396484375,573.2176513671875,1940.858642578125,864659.0,391.139,,375.37,1593980.0,413.96,367322.8125,411143.9921875,9958.23193359375,17252.2626953125,,,867539.71875,904256.1875,15730.486083984375,40284.0830078125,-2946.01123046875,45564.255859375,45.82067992425207,2.994965945547739,,10.74736575281319,87.22236088527733,6.543399414304852,,,in_dia,15,N/A
3834,224983,94.48619203340714,-24.979658009062994,614429775028562883,15.977,0.000208581,15.7965,0.00027275,16.9897,0.000623337,1476390.0,283.631,1743370.0,437.956,580909.0,333.509,0.0,0.0,,False,False,True,0.18050003,1.0127001,0.00048133102,0.000831918,in_dia,6.144297750285518e+17,38.0,57453.8671875,-10723.19140625,,81270.421875,-25137.330078125,30350.578125,41870.53309203481,3389.2645640804303,,112666.92650979712,31872.76396496264,100747.57705241238,1473684.875,586483.125,,2250048.25,2126043.5,2290655.25,323.45294189453125,729.41796875,,978.5980224609375,518.5209350585938,2681.10302734375,13903.9,13.8768,,7707.29,3241.0,527.292,18410.28466796875,89964.220703125,-12876.029052734375,-8364.187377929688,,,18283.263671875,125208.84375,-36421.833984375,-8629.75927734375,-13191.21484375,58048.078125,29.487257589952208,1.4716579361580844,,47.706945467934624,10.561921456025667,21.24272916980608,,,in_dia,15,N/A
3840,225197,94.50120589310777,-24.972912710087183,614429775028562969,15.7243,0.000167751,15.5406,0.000245696,16.744,0.000552255,1863320.0,287.891,2206740.0,499.371,728424.0,370.51,0.0,0.0,,False,False,True,0.18370056,1.0196991,0.00041344698,0.000720006,in_dia,6.144297750285517e+17,43.0,79030.1171875,-12081.7255859375,,220870.515625,-35780.05859375,16603.794921875,45935.76978508894,2536.9626860853605,,117701.71714346431,29248.264361790552,96831.89030706268,1791067.75,710739.375,,2751473.0,2748345.25,2724014.0,317.4994812011719,912.6043090820312,,942.1669921875,624.6346435546875,2050.28857421875,18130.3,4.42182,,10237.5,1867.0,1412.05,43831.3623046875,106175.42578125,-12908.7744140625,-10677.2109375,,,136758.58984375,272554.1171875,-39078.078125,-17746.54150390625,-51863.798828125,80548.060546875,25.47459341190317,0.2372767663745122,,49.96040290412125,8.80598291943537,19.314184003821993,,,in_dia,15,N/A
3989,234271,94.63503820435506,-25.263652417797562,614428331919554530,15.5553,0.00015483,15.2991,0.000306367,16.577,0.000527793,2177210.0,310.479,2756450.0,777.801,849594.0,413.0,,0.0,,True,True,True,0.25619984,1.0216999,0.000461197,0.000682623,in_dia,6.144283319195406e+17,45.0,-36091.828125,9332.837890625,,,17443.146484375,,197639.3736161975,9389.720401708555,,,17360.121856042464,,1531665.875,808457.4375,,,3517841.5,,275.2309265136719,538.5831298828125,,,700.7080078125,,993748.0,293.428,,,504.936,,83325.953125,130704.0078125,8063.8837890625,13353.87646484375,,,,,6495.1024169921875,30727.1884765625,,,65.78133016054565,3.4756311295606914,,,5.260996588311256,,,,in_dia,15,N/A
4002,234903,94.64277304422525,-25.286196053976138,614428331919554178,15.5067,0.000186268,15.2846,0.000574799,16.7641,0.00069808,2276860.0,390.616,2793490.0,1478.9,715076.0,459.762,,0.0,,True,False,True,0.2220993,1.2573996,0.000761067,0.000884348,in_dia,6.144283319195402e+17,30.0,171445.4375,9610.345703125,,,-516536.6875,-18352.841796875,27693.09412009166,1823.1167683723193,,,808372.1492732136,,2640971.75,731143.375,,,4201730.5,1493201.25,453.19952392578125,945.9038696289062,,,827.73779296875,2343.53857421875,2946.53,2.27827,,,931129.0,0.0,160647.18359375,183675.4140625,8760.099365234375,10570.8408203125,,,,,-246052.4453125,174240.640625,-18352.841796875,-18352.841796875,11.174841489064965,0.1945640580182233,,,186.17404251404116,,,,in_dia,15,N/A
4057,236828,94.62993101244595,-25.23656661727099,614428331919556622,15.787,0.000153514,15.4788,0.000199769,16.884,0.000659337,1758690.0,248.663,2335970.0,429.806,640305.0,388.839,0.0,0.0,,True,False,True,0.30819988,1.0970011,0.00035328302,0.000812851,in_dia,6.144283319195405e+17,44.0,-87357.921875,8822.8447265625,,,6177.462890625,,185351.32176710496,3665.441671294795,,,34599.72815574553,,1378996.75,533151.9375,,,3041959.5,,276.7897644042969,487.1344299316406,,,570.3085327148438,,928270.0,65.0115,,,3191.93,,28853.99853515625,47947.279296875,7667.0458984375,12470.913818359375,,,,,2133.4117431640625,23122.197265625,,,67.10751238618734,1.8039156183416192,,,8.130741097136191,,,,in_dia,15,N/A
4174,243060,94.57788823145512,-25.09414846724285,614429087833796852,15.5443,0.000130872,15.3371,0.000251118,16.5874,0.00054765,2199290.0,265.097,2661770.0,615.636,841497.0,424.455,,0.0,,True,True,True,0.20720005,1.0431004,0.00038199,0.000678522,in_dia,6.144290878337843e+17,63.0,76692.0078125,2868.07177734375,,671055.0,-29650.3125,-4643.7177734375,285346.2112046018,12024.726348840897,,20702.22620539576,251269.405992997,54663.330280296366,1933728.0,733901.125,,3823159.75,3642069.75,3865816.25,265.25164794921875,708.4417724609375,,1284.5987548828125,538.7415161132812,3356.325927734375,1374800.0,210.461,,152.137,330788.0,101.085,212174.74609375,259195.890625,-7039.25341796875,13293.5791015625,,,659985.125,679632.1875,43217.99609375,79426.515625,-25267.33984375,13385.470703125,155.894466064189,6.070151904465196,,6.417470030131455,32.33824562772653,9.291187684603342,,,in_dia,15,N/A
4191,243519,94.4586731284566,-25.106289499770647,614429087833796552,15.1755,0.000206106,15.1236,0.000390909,16.2396,0.000483432,3088780.0,586.345,3240060.0,1166.55,1159240.0,516.161,0.0,0.0,,False,False,True,0.05189991,1.0640993,0.000597015,0.00068953796,in_dia,6.144290878337843e+17,26.0,,-11935.7158203125,,,-464861.65625,-53613.01171875,,7437.141499521081,,,896898.6423057697,,,1019787.0625,,,3099063.0,5070054.0,,564.340576171875,,,639.22314453125,5637.830078125,,274.768,,,1442440.0,0.0,,,-19034.619140625,-13766.015625,,,,,120472.140625,154830.44921875,-53613.01171875,-53613.01171875,,2.0262423210371074,,,184.7610111070394,,,,in_dia,15,N/A
4219,244178,94.54645828756587,-25.074637763255307,614429087833797762,15.6685,0.000135196,15.4181,0.000261289,16.9023,0.000614602,1961530.0,244.251,2470410.0,594.52,629647.0,356.424,,0.0,,True,True,True,0.2503996,1.2337999,0.000396485,0.000749798,in_dia,6.144290878337843e+17,54.0,99346.828125,9245.572265625,,342106.65625,17154.197265625,8084.25927734375,30450.26667182834,3340.997695793452,,100104.81533201253,31036.48632046639,73602.4327323551,2037046.75,567379.5,,3417153.25,3491423.0,3517437.0,305.0362854003906,710.3928833007812,,1257.459716796875,563.2954711914062,3175.8115234375,8621.71,14.5302,,3929.82,2726.32,204.403,84895.0703125,114857.1484375,7544.3759765625,10982.685302734375,,,314732.1953125,402169.0625,10083.826904296875,36357.4755859375,-20036.82421875,32007.953125,15.56062830516304,1.214596831021392,,31.243970598236476,7.385225416675829,13.446835399452358,,,in_dia,15,N/A
4221,244336,94.52265373313827,-25.07445212406084,614429087833797656,15.4798,0.000146711,15.3909,0.000349153,16.5077,0.000507342,2333880.0,315.367,2532950.0,814.55,905574.0,423.156,0.0,0.0,,True,False,True,0.088900566,1.0278997,0.000495864,0.000654053,in_dia,6.144290878337843e+17,48.0,82771.8203125,-1041.364013671875,,488188.71875,98283.734375,23428.98046875,33458.39058649253,8851.894504693084,,,29006.110552133126,112990.34099780035,2257735.0,681450.1875,,3953061.75,3949311.75,4100107.0,353.8280029296875,665.9393310546875,,2269.89501953125,613.0704956054688,3488.83447265625,7366.48,110.475,,0.0,2170.32,398.734,65668.712890625,107914.71484375,-5040.3271484375,9991.1083984375,,,488188.71875,488188.71875,85607.1796875,127089.0546875,-20207.95703125,59688.28125,15.649581775356102,3.7443012150359407,,,7.7540145745097,18.971914226388872,,,in_dia,15,N/A
4242,244902,94.54303848073836,-25.159332976673788,614429087833794506,15.6112,0.000176477,15.4215,0.000261746,16.7477,0.000612328,2067820.0,336.107,2462640.0,593.686,725994.0,409.442,0.0,0.0,,True,True,True,0.18970013,1.1364994,0.000438223,0.000788805,in_dia,6.144290878337843e+17,31.0,62569.6796875,-4751.22607421875,,462231.46875,15324.34375,-64514.81640625,32254.164588049316,9804.70985088735,,,27616.855063484676,,1966211.5,602690.625,,3466334.75,3552940.0,3605963.25,444.89971923828125,587.2913208007812,,2107.944580078125,745.9906005859375,4595.939453125,4058.91,199.137,,1.63112e-10,1216.92,0.0,37785.9013671875,94798.55859375,-10400.57861328125,-3514.6283569335938,,,462231.4375,462231.4375,2055.96142578125,29857.384765625,-64514.81640625,-64514.81640625,19.595555070985636,4.196433443080237,,,7.573730102594016,,,,in_dia,15,N/A
4281,246340,94.49223514240708,-25.143692331380088,614429087833795229,15.0975,0.00016786,15.0532,0.000376665,16.1495,0.000501269,3319100.0,513.148,3457150.0,1199.36,1259460.0,581.476,0.0,0.0,,False,True,True,0.04430008,1.052,0.000544525,0.000669129,in_dia,6.144290878337843e+17,21.0,,-18573.8359375,,345957.65625,-614041.125,-89664.65625,,12578.668988829491,,,969432.576033243,,,1229297.0,,5308600.5,3881967.5,5507338.0,,654.5443115234375,,2697.709228515625,912.9869384765625,5898.73681640625,,284.611,,0.0,787305.0,0.0,,,-26254.08984375,-13031.404541015625,,,345957.65625,345957.65625,-1536721.375,298035.25,-89664.65625,-89664.65625,,4.304135781815986,,,254.69564664013367,,,,in_dia,15,N/A
4288,246482,94.52873965615106,-25.13937779485758,614429087833795093,15.9518,0.000203694,15.6407,0.000194351,17.055,0.000764306,1511090.0,283.494,2012360.0,360.22,547008.0,385.067,0.0,0.0,,False,True,True,0.3111,1.1032,0.000398045,0.000968,in_dia,6.144290878337843e+17,30.0,-85675.5390625,-13837.4560546875,,135814.390625,8907.6728515625,-53300.39453125,,3369.9620291167225,,110079.08570490009,17746.513227501047,,1515263.625,556114.8125,,1799647.75,2579236.75,2554530.25,1281.20263671875,431.7353515625,,1036.3135986328125,581.8717651367188,3745.5654296875,1.63265e-11,49.7481,,4415.63,828.044,0.0,-85675.53125,-85675.53125,-15183.515625,-11590.2939453125,,,125478.125,203315.7890625,-445.68212890625,18975.80615234375,-53300.39453125,-53300.39453125,,0.9119756406285653,,56.320014347278665,5.595223954840844,,,,in_dia,15,N/A
